기준년월,유통기한사용여부,유해상품차단여부,식품여부,기부물품대분류코드,기부물품중분류코드,기부물품수량,장부금액
201703,N,N,Y,스포츠용품,유제품,0,0
201703,N,N,Y,스포츠용품,축산가공식품,1,8700
201703,N,N,Y,스포츠용품,수산가공식품,0,0
201703,N,N,Y,스포츠용품,대용식기타,0,0
201703,N,N,Y,스포츠용품,통조림/병,0,0
201703,N,N,Y,스포츠용품,냉동식품,0,0
201703,N,N,Y,스포츠용품,절임/발효식품,0,0
201703,N,Y,Y,스포츠용품,절임/발효식품,0,0
201703,N,N,Y,스포츠용품,어육/연식품류,0,0
201703,N,N,Y,스포츠용품,분말류,0,0
201703,N,N,Y,스포츠용품,즉석/편의식품,138,181000
201703,N,Y,Y,스포츠용품,즉석/편의식품,0,0
201703,N,N,Y,스포츠용품,유아식품,0,0
201703,N,N,Y,스포츠용품,건강식품,0,0
201703,N,N,Y,스포츠용품,과자류,1319,2425341.59
201703,N,N,Y,스포츠용품,음료류,19430,7190568.26
201703,N,N,Y,스포츠용품,농산물가공식품,0,0
201703,N,N,Y,스포츠용품,급식류,0,0
201703,N,N,Y,스포츠용품,도시락류,0,0
201703,Y,N,Y,스포츠용품,조미료,2683,4877720
201703,Y,Y,Y,스포츠용품,조미료,0,0
201703,Y,N,Y,스포츠용품,유가공품,0,0
201703,Y,N,Y,스포츠용품,유제품,5,171000
201703,Y,N,Y,신선식품,축산물(냉동),0,0
201703,Y,N,Y,스포츠용품,축산가공식품,0,0
201703,Y,Y,Y,스포츠용품,축산가공식품,0,0
201703,Y,N,Y,스포츠용품,도시락류,0,0
201703,Y,N,Y,스포츠용품,수산가공식품,11,17215
201703,Y,Y,Y,스포츠용품,수산가공식품,0,0
201703,Y,N,N,가정용품,세탁용품,0,0
201703,Y,N,Y,스포츠용품,대용식기타,467,1314100
201703,Y,N,Y,스포츠용품,가공식품세트류,0,0
201703,Y,N,Y,스포츠용품,통조림/병,651,2454421.25
201703,Y,N,Y,신선식품,수산물(냉동),0,0
201703,Y,N,Y,스포츠용품,냉동식품,0,0
201703,Y,N,Y,스포츠용품,대용식(빵),22363,40594258
201703,Y,N,Y,신선식품,신선식품세트류,0,0
201703,Y,N,Y,스포츠용품,절임/발효식품,0,0
201703,Y,N,Y,스포츠용품,기타가공식품,936,5483360
201703,Y,N,Y,스포츠용품,어육/연식품류,0,0
201703,Y,N,N,일상용품,화장품,25,101583
201703,Y,N,Y,스포츠용품,분말류,937,3844430
201703,Y,N,Y,신선식품,기타신선식품,0,0
201703,Y,N,Y,신선식품,농산물,94,658000
201703,Y,N,Y,스포츠용품,즉석/편의식품,3037,5717020
201703,Y,Y,Y,스포츠용품,즉석/편의식품,0,0
201703,Y,N,N,의약품/의료용품,의약품,0,0
201703,Y,N,Y,스포츠용품,유아식품,0,0
201703,Y,N,N,일상용품,위생용품,763,409136.43
201703,Y,N,Y,스포츠용품,건강식품,48,345840
201703,Y,N,Y,신선식품,축산물,0,0
201703,Y,N,Y,스포츠용품,과자류,556,1278800
