지원센터코드,년,장부금액,장부수량,기부자수,기부건수,이용자수,제공건수,제공금액
중구기초푸드마켓,2020,284639239.0,159636,197,9920,8501,15484,137750980.22
중구기초푸드마켓,2021,362868141.0,226283,202,8328,16698,40093,289897039.93
중구기초푸드마켓,2022,284860201.0,177342,212,8011,21530,48161,218512173.05
중구기초푸드뱅크,2017,60528860.0,24821,76,1034,1557,28465,378133512.63
중구기초푸드뱅크,2018,10128260.0,4314,9,144,1417,13851,188117870.33
중구기초푸드뱅크,2022,7499500.0,1995,5,60,780,8617,146082809.57
해운대기초푸드마켓,2017,329029222.0,128005,230,2458,15414,24912,531689813.69
해운대기초푸드마켓,2018,314621115.0,94300,205,2121,19060,29970,527696478.93
해운대기초푸드마켓,2019,273178324.0,95149,219,1654,17717,24693,418123436.12
해운대기초푸드마켓,2020,324316380.0,93404,194,1336,15025,20032,421375959.42
해운대기초푸드마켓,2021,423550224.0,105002,217,803,25243,30636,413706176.51
해운대기초푸드마켓,2022,360859752.0,90166,152,708,21947,25885,416866482.84000003
해운대기초푸드뱅크,2017,251652753.0,137557,162,3197,1024,10156,299552302.96
해운대기초푸드뱅크,2018,240513233.0,126105,172,3412,1403,14933,298775343.07
해운대기초푸드뱅크,2019,369710065.0,174470,224,4793,1355,16249,407069506.69
해운대기초푸드뱅크,2020,542049942.0,175586,278,4876,790,5969,667062331.42
해운대기초푸드뱅크,2021,639708386.0,273401,359,6049,1321,7414,784450164.04
해운대기초푸드뱅크,2022,813957184.0,243164,379,6149,952,6859,937586112.37
